mensaje_id,codif_macro_1,codif_macro_2,codif_micro_1,codif_micro_2,hoja_1,hoja_2
FB_3307,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),César-4,Benjamín-3
FB_4397,B. Campaña,A. Programático,2. Eventos de campaña,1b. Programática - Propuesta,Extra-4,Alondra-5
TW_19485,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Gabriel-6,Benjamín-7
FB_4535,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Carolina-6,Gonzalo-8
TW_23564,NA,B. Campaña,,3. Movilización de recursos,Alondra-6,Gonzalo-7
TW_5522,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Benjamín-8,Marcelo-6
TW_5081,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Benjamín-3,Andrea-4
FB_4891,C. Politics,B. Campaña,5b. Ataque (global),1a. Programática - Postura,Carolina-7,Matías-6
FB_3228,B. Campaña,B. Campaña,2. Eventos de campaña | 1a. Programática - Postura,2. Eventos de campaña,Matías-4,Gabriel-5
TW_1528,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Carolina-5,César-4
FB_6116,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Carolina-2,Gonzalo-5
TW_15821,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial),Carolina-3,Marcelo-8
FB_6875,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,César-6,Alondra-3
TW_4866,C. Politics,D. Otros,6b. Referencia positiva (partido),7b. Personal (aptitudes),Andrea-4,Marcelo-8
TW_11358,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Carolina-6,Extra-2
FB_9577,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña,Benjamín-3,Carolina-7
TW_6074,D. Otros,D. Otros,N/A (imposible de determinar),8. Interacción con usuarios,Matías-4,Saúl-4
TW_9363,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial),Gonzalo-6,Saúl-4
TW_10344,D. Otros,D. Otros,8. Interacción con usuarios,4. Endorsements,César-2,Benjamín-4
FB_2056,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios,Marcelo-7,Saúl-7
TW_3802,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta,Gonzalo-7,Saúl-3
TW_15324,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements,Extra-6,Gonzalo-4
TW_7361,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Gabriel-7,Matías-8
TW_6957,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Marcelo-8,Benjamín-2
TW_6958,NA,D. Otros,,8. Interacción con usuarios,Alondra-6,Andrea-4
TW_8694,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura,Saúl-4,Extra-6
TW_19556,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6f. Referencia positiva (otros) | 6a. Referencia positiva (cand. presidencial),Marcelo-8,Saúl-7
TW_12886,C. Politics,C. Politics,6d. Referencia positiva (gobierno),6d. Referencia positiva (gobierno),Carolina-5,Andrea-3
FB_9271,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Extra-4,Matías-6
TW_25843,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Matías-7,Carolina-4
TW_26037,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements,Andrea-3,Matías-7
TW_24766,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Matías-6,Gabriel-3
TW_25386,A. Programático,A. Programático,1a. Programática - Postura | 8. Interacción con usuarios,1a. Programática - Postura,Saúl-8,Andrea-4
TW_11592,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Gonzalo-2,Alondra-5
TW_5633,D. Otros,D. Otros,9. Utilidad pública,7a. Personal (trivial),Carolina-8,Gonzalo-6
TW_11884,B. Campaña,D. Otros,2. Eventos de campaña,9. Utilidad pública,Benjamín-7,Saúl-6
TW_14599,C. Politics,B. Campaña,6d. Referencia positiva (gobierno),6a. Referencia positiva (cand. presidencial),Carolina-5,Matías-6
TW_17197,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios,Matías-8,Marcelo-4
TW_15101,D. Otros,D. Otros,10. Aparición en medios,9. Utilidad pública,Marcelo-2,Saúl-7
TW_1581,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 6c. Referencia positiva (coalición),Benjamín-4,Saúl-5
FB_2607,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Benjamín-8,Gonzalo-8
TW_13887,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial),Matías-8,Gonzalo-5
FB_6041,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios,Alondra-4,Benjamín-7
TW_6159,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura | 8. Interacción con usuarios,Benjamín-7,Saúl-8
FB_6171,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios,Andrea-3,Marcelo-8
FB_8720,C. Politics,B. Campaña,4. Endorsements,4. Endorsements | 3. Movilización de recursos,Marcelo-8,Gabriel-8
TW_21790,C. Politics,C. Politics,6b. Referencia positiva (partido),6b. Referencia positiva (partido),Gabriel-4,Benjamín-6
TW_16254,B. Campaña,B. Campaña,2. Eventos de campaña | 3. Movilización de recursos,2. Eventos de campaña,Benjamín-8,Alondra-5
FB_7917,C. Politics,B. Campaña,5a. Ataque (personal),2. Eventos de campaña,Benjamín-8,Carolina-7
FB_791,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios,Marcelo-6,Gabriel-5
TW_5854,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Carolina-7,Gonzalo-3
FB_5422,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Matías-3,Gonzalo-5
TW_11198,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,César-2,Gabriel-2
TW_24696,B. Campaña,B. Campaña,2. Eventos de campaña | 6b. Referencia positiva (partido),2. Eventos de campaña,Andrea-2,Carolina-5
FB_9608,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Alondra-5,Saúl-2
TW_11266,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Marcelo-4,Gonzalo-8
TW_2434,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Extra-1,Carolina-4
TW_8635,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial) | 3. Movilización de recursos,Gabriel-2,Matías-4
FB_4808,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura,Carolina-6,Gonzalo-5
TW_13377,A. Programático,A. Programático,1a. Programática - Postura | 8. Interacción con usuarios,1a. Programática - Postura,Saúl-3,Gonzalo-8
TW_7645,C. Politics,B. Campaña,4. Endorsements,3. Movilización de recursos,Saúl-5,Matías-2
FB_6614,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,César-7,Benjamín-4
TW_14629,B. Campaña,C. Politics,1a. Programática - Postura | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Matías-5,Extra-4
TW_17276,C. Politics,C. Politics,5a. Ataque (personal) | 8. Interacción con usuarios,5b. Ataque (global),Alondra-5,Andrea-2
TW_4339,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Matías-6,Carolina-5
FB_3155,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Extra-4,Gonzalo-3
TW_3735,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Marcelo-2,César-5
TW_7156,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública,César-3,Saúl-6
TW_13589,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial),Gonzalo-7,Extra-3
TW_23250,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios,Marcelo-4,Andrea-4
TW_114,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Carolina-2,Saúl-8
TW_3670,D. Otros,A. Programático,9. Utilidad pública,1a. Programática - Postura,Marcelo-2,Gonzalo-6
TW_18357,B. Campaña,D. Otros,4. Endorsements,7a. Personal (trivial),Matías-2,Carolina-3
TW_1244,B. Campaña,B. Campaña,3. Movilización de recursos,2. Eventos de campaña,Matías-6,Marcelo-5
TW_22351,D. Otros,B. Campaña,4. Endorsements,4. Endorsements,Extra-2,Gonzalo-4
TW_17382,C. Politics,C. Politics,6b. Referencia positiva (partido),6a. Referencia positiva (cand. presidencial),Carolina-7,Andrea-3
TW_49,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1a. Programática - Postura | 7b. Personal (aptitudes),Extra-1,Extra-5
FB_3575,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Carolina-3,Saúl-2
TW_15359,A. Programático,NA,1a. Programática - Postura,,Gabriel-5,Alondra-6
FB_358,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta,Extra-1,Andrea-2
FB_5792,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña,Gonzalo-2,Benjamín-5
TW_22831,B. Campaña,NA,2. Eventos de campaña,,Gonzalo-6,Alondra-6
FB_7689,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Gabriel-2,Gonzalo-6
TW_14206,C. Politics,C. Politics,6b. Referencia positiva (partido),6f. Referencia positiva (otros),Andrea-3,Benjamín-7
TW_6832,B. Campaña,D. Otros,2. Eventos de campaña,8. Interacción con usuarios,César-6,Carolina-4
FB_8472,D. Otros,D. Otros,7a. Personal (trivial),N/A (imposible de determinar),Alondra-2,César-7
TW_7275,B. Campaña,B. Campaña,10. Aparición en medios,10. Aparición en medios,Matías-7,Carolina-7
TW_1865,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal),Marcelo-8,Benjamín-7
TW_20813,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Gabriel-8,Gonzalo-4
TW_6245,D. Otros,B. Campaña,8. Interacción con usuarios,2. Eventos de campaña,Matías-6,Benjamín-2
TW_26724,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Gabriel-2,Matías-6
TW_24816,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Gonzalo-7,César-8
TW_2878,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial),Gonzalo-4,Marcelo-4
TW_21660,D. Otros,NA,8. Interacción con usuarios,,Gonzalo-6,Alondra-6
TW_2107,C. Politics,C. Politics,5c. Ataque (otros),6a. Referencia positiva (cand. presidencial),Benjamín-2,Extra-2
TW_1944,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Marcelo-2,Andrea-4
FB_5186,D. Otros,B. Campaña,7a. Personal (trivial),1a. Programática - Postura,Marcelo-7,Carolina-7
FB_8355,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos,Carolina-4,Gabriel-6
FB_4194,C. Politics,B. Campaña,4. Endorsements,4. Endorsements,Saúl-8,Gonzalo-3
TW_16642,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Gabriel-7,Andrea-3
TW_18439,B. Campaña,B. Campaña,3. Movilización de recursos,2. Eventos de campaña,Gonzalo-7,Carolina-5
TW_12639,D. Otros,B. Campaña,4. Endorsements,3. Movilización de recursos,Benjamín-4,Gabriel-5
FB_3681,C. Politics,B. Campaña,4. Endorsements | 6c. Referencia positiva (coalición),2. Eventos de campaña,Alondra-2,Extra-4
TW_10200,D. Otros,A. Programático,N/A (imposible de determinar),1a. Programática - Postura | 5c. Ataque (otros),Extra-2,Gabriel-3
FB_4221,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Matías-7,Gonzalo-3
FB_8128,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta,Andrea-3,Matías-6
TW_16491,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Matías-7,Alondra-5
TW_10964,NA,D. Otros,,5a. Ataque (personal) | 1a. Programática - Postura,Alondra-6,Matías-7
TW_25821,B. Campaña,B. Campaña,2. Eventos de campaña | 8. Interacción con usuarios,2. Eventos de campaña,Benjamín-3,Saúl-6
TW_20441,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Marcelo-6,Gonzalo-2
TW_16129,B. Campaña,A. Programático,3. Movilización de recursos,1b. Programática - Propuesta | 2. Eventos de campaña,Benjamín-4,Matías-5
FB_9087,D. Otros,C. Politics,7a. Personal (trivial),6b. Referencia positiva (partido),Alondra-2,Marcelo-3
TW_22474,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Marcelo-5,César-6
TW_21457,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios,Carolina-8,Benjamín-4
FB_9593,B. Campaña,B. Campaña,7b. Personal (aptitudes),2. Eventos de campaña,Matías-5,Carolina-8
TW_11,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Extra-4,Carolina-4
TW_570,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial) | 5b. Ataque (global),6a. Referencia positiva (cand. presidencial),Gabriel-4,Carolina-4
TW_15952,C. Politics,C. Politics,6c. Referencia positiva (coalición),6c. Referencia positiva (coalición),Gabriel-7,Benjamín-6
FB_8031,C. Politics,D. Otros,6f. Referencia positiva (otros),4. Endorsements,Matías-2,Benjamín-3
TW_17236,B. Campaña,B. Campaña,2. Eventos de campaña,6e. Referencia positiva (comp. lista),Saúl-2,Matías-6
TW_10273,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Marcelo-3,Gonzalo-2
TW_20167,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),Marcelo-4,Saúl-2
TW_4992,NA,C. Politics,,6a. Referencia positiva (cand. presidencial),Alondra-6,Carolina-5
FB_8956,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Marcelo-7,Gabriel-4
TW_80,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos,Benjamín-5,Gabriel-2
TW_15609,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),5b. Ataque (global) | 8. Interacción con usuarios,Andrea-2,Saúl-5
FB_4561,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Extra-3,Marcelo-8
TW_6034,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,César-7,Marcelo-7
TW_5621,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Benjamín-4,Matías-6
TW_22573,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Gonzalo-5,César-6
FB_4304,NA,B. Campaña,,2. Eventos de campaña,Alondra-6,Andrea-4
FB_2683,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Benjamín-4,Carolina-7
TW_12163,A. Programático,C. Politics,1a. Programática - Postura,6a. Referencia positiva (cand. presidencial),César-8,Carolina-4
TW_11614,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements,César-2,Gabriel-2
TW_907,C. Politics,D. Otros,6a. Referencia positiva (cand. presidencial),8. Interacción con usuarios,Marcelo-5,Alondra-2
FB_5167,B. Campaña,C. Politics,4. Endorsements,6a. Referencia positiva (cand. presidencial) | 4. Endorsements,Gabriel-2,Andrea-3
FB_2160,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,César-7,Marcelo-6
TW_22711,C. Politics,C. Politics,6b. Referencia positiva (partido),6f. Referencia positiva (otros),Carolina-8,Extra-4
FB_4666,NA,D. Otros,N/A (imposible de determinar),10. Aparición en medios,Saúl-3,César-7
TW_18019,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,César-8,Matías-3
TW_19339,A. Programático,C. Politics,1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Saúl-2,Extra-6
TW_3148,A. Programático,D. Otros,1a. Programática - Postura,9. Utilidad pública,Gonzalo-5,Carolina-8
TW_22562,C. Politics,C. Politics,10. Aparición en medios | 4. Endorsements,6b. Referencia positiva (partido) | 10. Aparición en medios,Matías-2,Alondra-2
TW_19287,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Gonzalo-8,Extra-6
TW_1901,B. Campaña,D. Otros,10. Aparición en medios,8. Interacción con usuarios,Matías-2,Gonzalo-4
FB_2484,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública,Carolina-5,Extra-5
FB_7189,A. Programático,A. Programático,1a. Programática - Postura | 3. Movilización de recursos,1a. Programática - Postura,Gonzalo-7,Extra-1
TW_10862,A. Programático,D. Otros,1a. Programática - Postura | 10. Aparición en medios,10. Aparición en medios,Alondra-3,Saúl-8
TW_7277,C. Politics,C. Politics,6f. Referencia positiva (otros) | 5b. Ataque (global),6f. Referencia positiva (otros) | 1a. Programática - Postura,Alondra-4,Matías-3
TW_11687,C. Politics,C. Politics,5a. Ataque (personal),5c. Ataque (otros),Gonzalo-7,Benjamín-4
TW_9165,B. Campaña,D. Otros,3. Movilización de recursos,8. Interacción con usuarios,Gabriel-6,Andrea-4
TW_9246,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Andrea-4,Alondra-4
TW_1078,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura,Marcelo-8,Carolina-5
FB_5577,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Benjamín-5,Gonzalo-3
FB_8126,C. Politics,B. Campaña,4. Endorsements,4. Endorsements,Carolina-5,Extra-5
TW_19749,D. Otros,C. Politics,8. Interacción con usuarios | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial),Alondra-4,Benjamín-5
TW_3077,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta,Marcelo-3,Saúl-7
FB_8002,D. Otros,B. Campaña,7b. Personal (aptitudes),2. Eventos de campaña | 7b. Personal (aptitudes),Gonzalo-4,Benjamín-2
FB_9260,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos,Extra-2,Gonzalo-8
TW_8094,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña,Benjamín-8,Gabriel-4
TW_16669,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios,Saúl-4,Gonzalo-5
TW_8115,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Gonzalo-6,César-2
TW_26471,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura,Benjamín-6,César-2
TW_14501,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial),Marcelo-7,Saúl-4
TW_5763,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal),Extra-5,César-4
TW_11775,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Saúl-3,Andrea-2
TW_9358,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Matías-2,Gabriel-6
TW_18517,C. Politics,C. Politics,5a. Ataque (personal),6a. Referencia positiva (cand. presidencial) | 1a. Programática - Postura,Extra-2,Saúl-5
TW_9552,C. Politics,C. Politics,4. Endorsements,4. Endorsements,Alondra-5,Saúl-5
TW_23681,B. Campaña,C. Politics,2. Eventos de campaña,6a. Referencia positiva (cand. presidencial),Alondra-2,Gabriel-2
TW_17083,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios,Extra-5,Benjamín-6
TW_6139,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública | 8. Interacción con usuarios,Carolina-2,Saúl-4
TW_20937,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña,Extra-5,Alondra-2
