mensaje_id,codif_macro_1,codif_macro_2,codif_micro_1,codif_micro_2
TW_13508,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_24386,B. Campaña,C. Politics,2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_9209,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_3274,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_19371,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_3307,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_4397,B. Campaña,A. Programático,2. Eventos de campaña,1b. Programática - Propuesta
TW_19485,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_4535,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_23564,NA,B. Campaña,,3. Movilización de recursos
TW_5522,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_5081,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_4891,C. Politics,B. Campaña,5b. Ataque (global),1a. Programática - Postura
FB_3228,B. Campaña,B. Campaña,2. Eventos de campaña | 1a. Programática - Postura,2. Eventos de campaña
TW_1528,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_6116,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_15821,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial)
FB_6875,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_4866,C. Politics,D. Otros,6b. Referencia positiva (partido),7b. Personal (aptitudes)
TW_11358,B. Campaña,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_9577,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña
TW_6074,D. Otros,D. Otros,N/A (imposible de determinar),8. Interacción con usuarios
TW_9363,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial)
TW_10344,D. Otros,D. Otros,8. Interacción con usuarios,4. Endorsements
FB_2056,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_3802,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_15324,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
TW_7361,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_6957,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_6958,NA,D. Otros,,8. Interacción con usuarios
TW_8694,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
TW_19556,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6f. Referencia positiva (otros) | 6a. Referencia positiva (cand. presidencial)
TW_12886,C. Politics,C. Politics,6d. Referencia positiva (gobierno),6d. Referencia positiva (gobierno)
FB_9271,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_25843,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_26037,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements
TW_24766,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_25386,A. Programático,A. Programático,1a. Programática - Postura | 8. Interacción con usuarios,1a. Programática - Postura
TW_11592,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_5633,D. Otros,D. Otros,9. Utilidad pública,7a. Personal (trivial)
TW_11884,B. Campaña,D. Otros,2. Eventos de campaña,9. Utilidad pública
TW_14599,C. Politics,B. Campaña,6d. Referencia positiva (gobierno),6a. Referencia positiva (cand. presidencial)
TW_17197,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_15101,D. Otros,D. Otros,10. Aparición en medios,9. Utilidad pública
TW_1581,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 6c. Referencia positiva (coalición)
FB_2607,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_13887,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial)
FB_6041,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_6159,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura | 8. Interacción con usuarios
FB_6171,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_8720,C. Politics,B. Campaña,4. Endorsements,4. Endorsements | 3. Movilización de recursos
TW_21790,C. Politics,C. Politics,6b. Referencia positiva (partido),6b. Referencia positiva (partido)
TW_16254,B. Campaña,B. Campaña,2. Eventos de campaña | 3. Movilización de recursos,2. Eventos de campaña
FB_7917,C. Politics,B. Campaña,5a. Ataque (personal),2. Eventos de campaña
FB_791,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_5854,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_5422,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_11198,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_24696,B. Campaña,B. Campaña,2. Eventos de campaña | 6b. Referencia positiva (partido),2. Eventos de campaña
FB_9608,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_11266,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_2434,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_8635,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial) | 3. Movilización de recursos
FB_4808,A. Programático,A. Programático,1b. Programática - Propuesta,1a. Programática - Postura
TW_13377,A. Programático,A. Programático,1a. Programática - Postura | 8. Interacción con usuarios,1a. Programática - Postura
TW_7645,C. Politics,B. Campaña,4. Endorsements,3. Movilización de recursos
FB_6614,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_14629,B. Campaña,C. Politics,1a. Programática - Postura | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_17276,C. Politics,C. Politics,5a. Ataque (personal) | 8. Interacción con usuarios,5b. Ataque (global)
TW_4339,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_3155,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_3735,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_7156,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_13589,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_23250,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_114,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_3670,D. Otros,A. Programático,9. Utilidad pública,1a. Programática - Postura
TW_18357,B. Campaña,D. Otros,4. Endorsements,7a. Personal (trivial)
TW_1244,B. Campaña,B. Campaña,3. Movilización de recursos,2. Eventos de campaña
TW_22351,D. Otros,B. Campaña,4. Endorsements,4. Endorsements
TW_17382,C. Politics,C. Politics,6b. Referencia positiva (partido),6a. Referencia positiva (cand. presidencial)
TW_49,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1a. Programática - Postura | 7b. Personal (aptitudes)
FB_3575,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_15359,A. Programático,NA,1a. Programática - Postura,
FB_358,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
FB_5792,A. Programático,B. Campaña,1a. Programática - Postura,2. Eventos de campaña
TW_22831,B. Campaña,NA,2. Eventos de campaña,
FB_7689,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_14206,C. Politics,C. Politics,6b. Referencia positiva (partido),6f. Referencia positiva (otros)
TW_6832,B. Campaña,D. Otros,2. Eventos de campaña,8. Interacción con usuarios
FB_8472,D. Otros,D. Otros,7a. Personal (trivial),N/A (imposible de determinar)
TW_7275,B. Campaña,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_1865,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
TW_20813,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_6245,D. Otros,B. Campaña,8. Interacción con usuarios,2. Eventos de campaña
TW_26724,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_24816,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_2878,A. Programático,D. Otros,1a. Programática - Postura,7a. Personal (trivial)
TW_21660,D. Otros,NA,8. Interacción con usuarios,
TW_2107,C. Politics,C. Politics,5c. Ataque (otros),6a. Referencia positiva (cand. presidencial)
TW_1944,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
FB_5186,D. Otros,B. Campaña,7a. Personal (trivial),1a. Programática - Postura
FB_8355,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
FB_4194,C. Politics,B. Campaña,4. Endorsements,4. Endorsements
TW_16642,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_18439,B. Campaña,B. Campaña,3. Movilización de recursos,2. Eventos de campaña
TW_12639,D. Otros,B. Campaña,4. Endorsements,3. Movilización de recursos
FB_3681,C. Politics,B. Campaña,4. Endorsements | 6c. Referencia positiva (coalición),2. Eventos de campaña
TW_10200,D. Otros,A. Programático,N/A (imposible de determinar),1a. Programática - Postura | 5c. Ataque (otros)
FB_4221,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
FB_8128,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
TW_16491,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_10964,NA,D. Otros,,5a. Ataque (personal) | 1a. Programática - Postura
TW_25821,B. Campaña,B. Campaña,2. Eventos de campaña | 8. Interacción con usuarios,2. Eventos de campaña
TW_20441,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_16129,B. Campaña,A. Programático,3. Movilización de recursos,1b. Programática - Propuesta | 2. Eventos de campaña
FB_9087,D. Otros,C. Politics,7a. Personal (trivial),6b. Referencia positiva (partido)
TW_22474,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_21457,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
FB_9593,B. Campaña,B. Campaña,7b. Personal (aptitudes),2. Eventos de campaña
TW_11,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_570,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial) | 5b. Ataque (global),6a. Referencia positiva (cand. presidencial)
TW_15952,C. Politics,C. Politics,6c. Referencia positiva (coalición),6c. Referencia positiva (coalición)
FB_8031,C. Politics,D. Otros,6f. Referencia positiva (otros),4. Endorsements
TW_17236,B. Campaña,B. Campaña,2. Eventos de campaña,6e. Referencia positiva (comp. lista)
TW_10273,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_20167,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña | 6a. Referencia positiva (cand. presidencial)
TW_4992,NA,C. Politics,,6a. Referencia positiva (cand. presidencial)
FB_8956,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_80,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_15609,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),5b. Ataque (global) | 8. Interacción con usuarios
FB_4561,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_6034,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_5621,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_22573,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_4304,NA,B. Campaña,,2. Eventos de campaña
FB_2683,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_12163,A. Programático,C. Politics,1a. Programática - Postura,6a. Referencia positiva (cand. presidencial)
TW_11614,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
TW_907,C. Politics,D. Otros,6a. Referencia positiva (cand. presidencial),8. Interacción con usuarios
FB_5167,B. Campaña,C. Politics,4. Endorsements,6a. Referencia positiva (cand. presidencial) | 4. Endorsements
FB_2160,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_22711,C. Politics,C. Politics,6b. Referencia positiva (partido),6f. Referencia positiva (otros)
FB_4666,NA,D. Otros,N/A (imposible de determinar),10. Aparición en medios
TW_18019,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_19339,A. Programático,C. Politics,1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_3148,A. Programático,D. Otros,1a. Programática - Postura,9. Utilidad pública
TW_22562,C. Politics,C. Politics,10. Aparición en medios | 4. Endorsements,6b. Referencia positiva (partido) | 10. Aparición en medios
TW_19287,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_1901,B. Campaña,D. Otros,10. Aparición en medios,8. Interacción con usuarios
FB_2484,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
FB_7189,A. Programático,A. Programático,1a. Programática - Postura | 3. Movilización de recursos,1a. Programática - Postura
TW_10862,A. Programático,D. Otros,1a. Programática - Postura | 10. Aparición en medios,10. Aparición en medios
TW_7277,C. Politics,C. Politics,6f. Referencia positiva (otros) | 5b. Ataque (global),6f. Referencia positiva (otros) | 1a. Programática - Postura
TW_11687,C. Politics,C. Politics,5a. Ataque (personal),5c. Ataque (otros)
TW_9165,B. Campaña,D. Otros,3. Movilización de recursos,8. Interacción con usuarios
TW_9246,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_1078,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
FB_5577,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_8126,C. Politics,B. Campaña,4. Endorsements,4. Endorsements
TW_19749,D. Otros,C. Politics,8. Interacción con usuarios | 6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_3077,A. Programático,A. Programático,1a. Programática - Postura,1b. Programática - Propuesta
FB_8002,D. Otros,B. Campaña,7b. Personal (aptitudes),2. Eventos de campaña | 7b. Personal (aptitudes)
FB_9260,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_8094,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
TW_16669,D. Otros,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_8115,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_26471,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura
TW_14501,C. Politics,A. Programático,6a. Referencia positiva (cand. presidencial),1b. Programática - Propuesta | 6a. Referencia positiva (cand. presidencial)
TW_5763,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_11775,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_9358,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_18517,C. Politics,C. Politics,5a. Ataque (personal),6a. Referencia positiva (cand. presidencial) | 1a. Programática - Postura
TW_9552,C. Politics,C. Politics,4. Endorsements,4. Endorsements
TW_23681,B. Campaña,C. Politics,2. Eventos de campaña,6a. Referencia positiva (cand. presidencial)
TW_17083,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_6139,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública | 8. Interacción con usuarios
TW_20937,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_26206,NA,D. Otros,,9. Utilidad pública
FB_2087,A. Programático,A. Programático,1b. Programática - Propuesta,1b. Programática - Propuesta
TW_18967,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6f. Referencia positiva (otros) | 8. Interacción con usuarios
TW_5992,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_26568,A. Programático,C. Politics,1a. Programática - Postura,6d. Referencia positiva (gobierno) | 1a. Programática - Postura
TW_15058,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
TW_14908,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal) | 1a. Programática - Postura
TW_2823,C. Politics,C. Politics,5c. Ataque (otros),5a. Ataque (personal) | 1a. Programática - Postura
FB_9758,B. Campaña,B. Campaña,2. Eventos de campaña,4. Endorsements
TW_3943,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_11764,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
FB_6523,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_15931,D. Otros,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_3334,D. Otros,B. Campaña,7a. Personal (trivial),2. Eventos de campaña
TW_21444,D. Otros,D. Otros,9. Utilidad pública,9. Utilidad pública
TW_9420,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_23174,D. Otros,D. Otros,7a. Personal (trivial),8. Interacción con usuarios
TW_6189,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_395,B. Campaña,B. Campaña,2. Eventos de campaña,3. Movilización de recursos
TW_17077,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_6537,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos | 6c. Referencia positiva (coalición)
FB_6704,B. Campaña,D. Otros,6f. Referencia positiva (otros),N/A (imposible de determinar)
TW_1619,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña | 1a. Programática - Postura
TW_14623,C. Politics,B. Campaña,6f. Referencia positiva (otros),2. Eventos de campaña
TW_2870,C. Politics,C. Politics,5a. Ataque (personal),5a. Ataque (personal)
TW_4569,C. Politics,B. Campaña,6b. Referencia positiva (partido),3. Movilización de recursos
TW_16264,D. Otros,D. Otros,10. Aparición en medios,7b. Personal (aptitudes)
TW_18312,C. Politics,B. Campaña,6b. Referencia positiva (partido),4. Endorsements
FB_833,D. Otros,NA,10. Aparición en medios,
TW_25063,B. Campaña,B. Campaña,3. Movilización de recursos,2. Eventos de campaña
TW_42,B. Campaña,B. Campaña,2. Eventos de campaña | 10. Aparición en medios,2. Eventos de campaña
TW_6138,D. Otros,A. Programático,7a. Personal (trivial),1a. Programática - Postura
FB_8154,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_17143,C. Politics,C. Politics,6b. Referencia positiva (partido),6b. Referencia positiva (partido)
TW_186,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
FB_4387,D. Otros,D. Otros,7a. Personal (trivial),7a. Personal (trivial)
TW_1248,D. Otros,B. Campaña,N/A (imposible de determinar),3. Movilización de recursos
TW_7536,C. Politics,B. Campaña,6b. Referencia positiva (partido),4. Endorsements
TW_20893,D. Otros,A. Programático,9. Utilidad pública,1a. Programática - Postura
TW_3569,C. Politics,C. Politics,1a. Programática - Postura | 5a. Ataque (personal),6a. Referencia positiva (cand. presidencial)
TW_14131,C. Politics,C. Politics,6f. Referencia positiva (otros),6f. Referencia positiva (otros)
TW_14187,A. Programático,A. Programático,1a. Programática - Postura,1a. Programática - Postura
TW_12826,D. Otros,D. Otros,8. Interacción con usuarios,8. Interacción con usuarios
TW_13131,D. Otros,C. Politics,7b. Personal (aptitudes),7a. Personal (trivial)
TW_3568,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
FB_940,A. Programático,B. Campaña,1a. Programática - Postura | 2. Eventos de campaña,2. Eventos de campaña | 1a. Programática - Postura
FB_7109,B. Campaña,D. Otros,10. Aparición en medios,10. Aparición en medios
TW_2690,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_1834,A. Programático,A. Programático,1b. Programática - Propuesta,1b. Programática - Propuesta
TW_2401,C. Politics,A. Programático,5c. Ataque (otros),1a. Programática - Postura
TW_14293,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_8803,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_8163,D. Otros,D. Otros,7a. Personal (trivial),9. Utilidad pública
FB_3180,NA,A. Programático,,1a. Programática - Postura
TW_21836,B. Campaña,B. Campaña,4. Endorsements,4. Endorsements
TW_20176,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_12378,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos
TW_8934,B. Campaña,B. Campaña,3. Movilización de recursos,3. Movilización de recursos | 1b. Programática - Propuesta
TW_19661,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
TW_3973,D. Otros,D. Otros,6f. Referencia positiva (otros),9. Utilidad pública | 1a. Programática - Postura
FB_7879,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura | 5b. Ataque (global)
TW_2120,D. Otros,C. Politics,8. Interacción con usuarios | 5c. Ataque (otros),5c. Ataque (otros)
TW_14514,C. Politics,C. Politics,5b. Ataque (global),5a. Ataque (personal)
TW_13266,C. Politics,A. Programático,5b. Ataque (global),1a. Programática - Postura
FB_2334,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
FB_3000,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_16441,B. Campaña,D. Otros,4. Endorsements,8. Interacción con usuarios
TW_7219,D. Otros,D. Otros,7a. Personal (trivial),9. Utilidad pública
FB_6793,C. Politics,C. Politics,6a. Referencia positiva (cand. presidencial),6a. Referencia positiva (cand. presidencial)
FB_3483,NA,B. Campaña,,2. Eventos de campaña
FB_8837,B. Campaña,B. Campaña,2. Eventos de campaña,2. Eventos de campaña
TW_22074,B. Campaña,B. Campaña,10. Aparición en medios,10. Aparición en medios
TW_19050,C. Politics,D. Otros,6a. Referencia positiva (cand. presidencial),N/A (imposible de determinar)
TW_7175,C. Politics,B. Campaña,6a. Referencia positiva (cand. presidencial),2. Eventos de campaña
